Loan_ID,Gender,Married,Dependents,Education,Income,Coapplicant_Income,Loan_Tenor,Credit_History,Property_Area,Max_Loan_Amount,Loan_Status
LP001002,Male,No,0,Graduate,5849,0,144,1,Urban,,Y
LP001003,Male,Yes,1,Graduate,4583,1508,144,1,Rural,236.99,N
LP001005,Male,Yes,0,Graduate,3000,0,144,1,Urban,81.20,Y
LP001006,Male,Yes,0,Not Graduate,2583,2358,144,1,Urban,179.03,Y
LP001008,Male,No,0,Graduate,6000,0,144,1,Urban,232.40,Y
LP001011,Male,Yes,2,Graduate,5417,4196,144,1,Urban,414.50,Y
LP001013,Male,Yes,0,Not Graduate,2333,1516,144,1,Urban,123.99,Y
LP001014,Male,Yes,3+,Graduate,3036,2504,144,0,Semiurban,209.22,N
LP001018,Male,Yes,2,Graduate,4006,1526,144,1,Urban,208.81,Y
LP001020,Male,Yes,1,Graduate,12841,10968,144,1,Semiurban,449.00,N
LP001024,Male,Yes,2,Graduate,3200,700,144,1,Urban,126.56,Y
LP001027,Male,Yes,2,Graduate,2500,1840,144,1,Urban,148.74,Y
LP001028,Male,Yes,2,Graduate,3073,8106,144,1,Urban,363.42,Y
LP001029,Male,No,0,Graduate,1853,2840,144,1,Rural,166.53,N
LP001030,Male,Yes,2,Graduate,1299,1086,120,1,Urban,30.17,Y
LP001032,Male,No,0,Graduate,4950,0,144,1,Urban,179.48,Y
LP001034,Male,No,1,Not Graduate,3596,0,96,,Urban,50.83,Y
LP001036,Female,No,0,Graduate,3510,0,144,0,Urban,106.90,N
LP001038,Male,Yes,0,Not Graduate,4887,0,144,1,Rural,176.30,N
LP001041,Male,Yes,0,Graduate,2600,3500,,1,Urban,,Y
LP001043,Male,Yes,0,Not Graduate,7660,0,144,0,Urban,316.06,N
LP001046,Male,Yes,1,Graduate,5955,5625,144,1,Urban,513.63,Y
LP001047,Male,Yes,0,Not Graduate,2600,1911,144,0,Semiurban,157.35,N
LP001050,,Yes,2,Not Graduate,3365,1917,144,0,Rural,196.21,N
LP001052,Male,Yes,1,Graduate,3717,2925,144,,Semiurban,264.76,N
LP001066,Male,Yes,0,Graduate,9560,0,144,1,Semiurban,411.82,Y
LP001068,Male,Yes,0,Graduate,2799,2253,144,1,Semiurban,184.62,Y
LP001073,Male,Yes,2,Not Graduate,4226,1040,144,1,Urban,195.41,Y
LP001086,Male,No,0,Not Graduate,1442,0,144,1,Urban,72.68,N
LP001087,Female,No,2,Graduate,3750,2083,144,1,Semiurban,223.98,Y
LP001091,Male,Yes,1,Graduate,4166,3369,144,,Urban,309.76,N
LP001095,Male,No,0,Graduate,3167,0,144,1,Urban,89.62,N
LP001097,Male,No,1,Graduate,4692,0,144,1,Rural,166.48,N
LP001098,Male,Yes,0,Graduate,3500,1667,144,1,Semiurban,190.42,Y
LP001100,Male,No,3+,Graduate,12500,3000,144,1,Rural,581.20,N
LP001106,Male,Yes,0,Graduate,2275,2067,144,1,Urban,,Y
LP001109,Male,Yes,0,Graduate,1828,1330,,0,Urban,,N
LP001112,Female,Yes,0,Graduate,3667,1459,144,1,Semiurban,188.35,Y
LP001114,Male,No,0,Graduate,4166,7210,144,1,Urban,373.35,Y
LP001116,Male,No,0,Not Graduate,3748,1668,144,1,Semiurban,202.97,Y
